Time,Lon,Lat,Mag,Depth,Description
2011-08-24T17:46:11.560000Z,-74.538,-7.6203,7.0,149300.0,PERU-BRAZIL BORDER REGION
2011-08-24T23:06:18.750000Z,167.6056,-18.2161,6.1,18900.0,VANUATU ISLANDS
2011-08-30T06:57:41.540000Z,126.7502,-6.3592,6.9,467200.0,BANDA SEA
2011-09-01T06:14:39.900000Z,166.6817,-12.4548,6.0,52000.0,SANTA CRUZ ISLANDS
2011-09-02T10:55:54.990000Z,-171.7181,52.1018,6.9,46000.0,"FOX ISLANDS, ALEUTIAN ISLANDS"
2011-09-02T13:47:10.700000Z,-63.136,-28.4135,6.7,592700.0,"SANTIAGO DEL ESTERO PROV., ARG."
2011-09-03T04:48:58.780000Z,-26.9231,-56.5611,6.4,96300.0,SOUTH SANDWICH ISLANDS REGION
2011-09-03T22:55:35.760000Z,169.778,-20.6279,7.0,136600.0,VANUATU ISLANDS
2011-09-05T09:52:00.820000Z,-173.5514,-15.2459,6.2,34600.0,TONGA ISLANDS
2011-09-05T17:55:12.930000Z,97.9991,3.0253,6.7,106600.0,"NORTHERN SUMATRA, INDONESIA"
2011-09-09T19:26:02.160000Z,164.231,-49.5923,6.0,15000.0,"AUCKLAND ISLANDS, N.Z. REGION"
2011-09-09T19:41:33.130000Z,-127.0648,49.3886,6.5,15400.0,"VANCOUVER ISLAND, CANADA REGION"
2011-09-14T18:10:09.580000Z,172.9477,52.9685,6.0,19400.0,"NEAR ISLANDS, ALEUTIAN ISLANDS"
2011-09-15T07:53:23.440000Z,-178.8955,-35.1395,6.0,42000.0,"EAST OF NORTH ISLAND, N.Z."
2011-09-15T08:00:08.900000Z,141.4344,36.2643,6.2,24300.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-09-15T19:31:03.160000Z,-179.324,-21.593,7.3,629000.0,FIJI ISLANDS REGION
2011-09-16T19:26:40.730000Z,142.9239,40.2958,6.7,29700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-09-16T21:08:05.980000Z,143.1184,40.2313,6.0,25400.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-09-22T23:07:03.910000Z,-175.0799,-15.4477,6.4,12700.0,TONGA ISLANDS
2011-10-07T08:58:29.360000Z,-178.8015,-32.4215,6.1,41700.0,SOUTH OF KERMADEC ISLANDS
2011-10-13T03:16:32.090000Z,114.5555,-9.3634,6.2,63200.0,"SOUTH OF BALI, INDONESIA"
2011-10-14T03:35:15.080000Z,147.9311,-6.6259,6.5,43200.0,"EASTERN NEW GUINEA REG., P.N.G."
2011-10-18T05:05:06.650000Z,151.1049,-5.7682,6.0,29800.0,"NEW BRITAIN REGION, P.N.G."
2011-10-21T08:02:37.620000Z,142.5315,43.8729,6.2,189000.0,"HOKKAIDO, JAPAN REGION"
