index,Station,Event,Ev_lat,Ev_lon,Depth,Mag,Baz,Phase,SCPhi,SCPhi_std,SCdt,SCdt_std,RCPhi,RCPhi_std,RCdt,RCdt_std,Null,Quality,CpH
115,AM.BAUR,20171024_104747,-7.2364,123.0401,549.19,6.7,102.37,SKS,82.37,44.75,1,0.98,52.37,25.25,0.6,0.95,TRUE,Good,0.9
116,AM.BAUR,20180325_201447,-6.6247,129.8138,169,6.4,97.44,SKS,48.44,44.75,1.2,0.98,54.44,44.75,1.2,0.98,FALSE,Good,0.46
117,AM.BAUR,20180821_213147,10.7791,-62.907,146.18,7.3,289.27,SKS,82.27,44.75,1.5,0.98,50.27,44.75,1,0.98,FALSE,Poor,0.59
118,AM.BAUR,20190619_172448,-2.243,138.4599,10,6.3,88.47,SKS,79.47,3.25,3.2,0.62,33.47,44.75,0.5,0.98,TRUE,Fair,0.84
119,AM.BAUR,20190624_025339,-6.4078,129.1692,212,7.3,97.7,SKS,83.7,4.5,2.5,0.68,38.7,44.75,0.6,0.98,FALSE,Poor,0.79
120,AM.BAUR,20200506_135356,-6.7949,129.8613,107,6.8,97.54,SKS,59.54,8.25,1.4,0.2,51.54,44.75,1.3,0.62,FALSE,Fair,0.58
121,AM.BAUR,20200821_040952,-6.6869,123.4829,627.76,6.9,101.67,SKS,65.67,7.75,0.9,0.13,52.67,16.25,0.8,0.4,FALSE,Fair,0.67
122,AM.BYUR,20150211_185720,-23.0653,-66.6621,203.6,6.7,264.48,SKKS,-13.52,2.25,3.9,0.25,26.48,44.75,0,0.98,TRUE,Good,0.99
123,AM.BYUR,20170415_081943,-23.2706,-67.7655,155,6.2,264.96,SKKS,61.96,44.75,3.9,0.98,-9.04,44.75,0.7,0.98,TRUE,Good,0.91
124,AM.BYUR,20190301_085042,-14.7016,-70.135,267,7,274.43,SKS,48.43,15.75,1.3,0.45,54.43,44.75,1.3,0.98,FALSE,Good,0.39
125,AM.BYUR,20110101_095658,-26.8513,-63.2373,584.3,7,258.85,SKS,73.85,44.75,3.9,0.98,-44.15,44.75,3.9,0.98,TRUE,Good,0.9
126,AM.BYUR,20110113_164310,-20.6703,168.4717,29.7,6,84.52,SKS,-0.48,44.75,3.2,0.98,38.52,44.75,0.3,0.98,TRUE,Fair,0.88
127,AM.BYUR,20110407_131123,17.2651,-94.1439,165.1,6.7,317.48,SKS,40.48,44.75,3.9,0.98,79.48,44.75,0,0.98,TRUE,Fair,0.84
128,AM.BYUR,20110601_125521,-37.5547,-73.8322,10,6.3,252.49,SKS,61.49,6.5,3.9,0.8,10.49,44.75,0.4,0.98,TRUE,Fair,0.87
129,AM.BYUR,20111014_033515,-6.6259,147.9311,43.2,6.5,86.04,SKS,-60.96,44.75,1.1,0.98,37.04,44.75,3.5,0.98,FALSE,Poor,0.74
130,AM.BYUR,20111027_001524,-17.9419,-179.4302,606,6,71.99,SKS,-0.01,44.75,3.9,0.98,-28.01,44.75,0.2,0.98,FALSE,Poor,0.71
131,AM.BYUR,20111122_184816,-15.3083,-65.1634,560.3,6.6,270.59,SKS,64.59,44.75,1.4,0.98,-82.41,44.75,2.8,0.98,FALSE,Poor,0.6
132,AM.BYUR,20111211_095456,-56.049,-28.2135,130.6,6.3,215.82,SKS,-71.18,44.75,3.9,0.98,50.82,44.75,0.2,0.98,TRUE,Fair,0.82
133,AM.BYUR,20120121_184713,14.933,-93.1422,63.5,6.2,315.25,SKS,62.25,44.75,3.9,0.98,-58.75,44.75,0.4,0.98,FALSE,Poor,0.64
134,AM.BYUR,20120417_071349,-5.5336,147.125,208.2,6.9,85.72,SKS,79.72,44.75,0.9,0.98,39.72,44.75,0.2,0.98,TRUE,Good,0.95
135,AM.BYUR,20120514_100039,-17.7968,-69.7926,108.7,6.3,271.4,SKS,49.4,44.75,1.5,0.98,-39.6,44.75,3.3,0.98,FALSE,Poor,0.38
136,AM.BYUR,20120528_050723,-28.021,-63.1134,591.1,6.7,257.64,SKS,73.64,44.75,3.9,0.98,23.64,44.75,0.3,0.98,TRUE,Fair,0.82
137,AM.BYUR,20120607_160318,-15.9117,-72.4723,106.7,6.2,274.93,SKS,11.93,44.75,3.9,0.98,-28.07,17.25,0.2,0.6,TRUE,Good,0.9
138,AM.BYUR,20120728_200359,-4.654,153.1678,58.8,6.5,80.97,SKS,-21.03,5.75,3.8,0.7,-78.03,44.75,0.6,0.98,TRUE,Fair,0.82
139,AM.BYUR,20150211_185720,-23.0653,-66.6621,203.6,6.7,264.48,SKS,64.48,44.75,1.6,0.98,30.48,44.75,0.9,0.98,FALSE,Poor,0.74
140,AM.BYUR,20150323_045137,-18.3544,-69.1883,127.1,6.4,270.49,SKS,84.49,28.75,3.9,0.92,32.49,44.75,0.1,0.98,TRUE,Fair,0.83
141,AM.BYUR,20110830_065741,-6.3592,126.7502,467.2,6.9,99.55,SKS,-86.45,44.75,2.9,0.98,44.55,44.75,0.3,0.98,TRUE,Fair,0.88
142,AM.BYUR,20130406_044236,-3.4714,138.4743,69.4,7,89.77,SKS,-24,19.75,0.9,0.62,-48.23,44.75,0.7,0.98,FALSE,Fair,0.55
143,AM.BYUR,20110101_095658,-26.8513,-63.2373,584.3,7,258.85,SKS,75.85,44.75,2.7,0.98,-43.15,44.75,3.9,0.98,FALSE,Poor,0.76
144,AM.BYUR,20111214_050457,-7.5278,146.814,128.5,7.1,87.49,SKS,-7.51,17.25,3.6,0.92,-53.51,44.75,0.3,0.98,TRUE,Fair,0.89
145,AM.BYUR,20150211_185720,-23.0653,-66.6621,203.6,6.7,264.48,SKS,64.48,44.75,1.6,0.98,29.48,44.75,0.9,0.98,FALSE,Poor,0.72
146,AM.BYUR,20170614_072905,14.9823,-91.9882,94,6.9,314.29,SKS,16.29,44.75,2,0.98,-45.71,44.75,2.4,0.98,FALSE,Poor,0.71
147,AM.BYUR,20170713_033608,-4.7722,153.1958,34.78,6.4,81.04,SKS,-16.96,44.75,3.4,0.98,-69.96,44.75,0.4,0.98,FALSE,Poor,0.72
148,AM.BYUR,20190530_090328,13.1462,-89.3663,25,6.6,310.92,SKS,34.92,44.75,3.9,0.98,74.92,44.75,0.1,0.98,TRUE,Fair,0.83
149,AM.BYUR,20171024_104747,-7.2364,123.0401,549.19,6.7,102.63,SKS,7.63,1.25,3.9,0.3,-39.37,44.75,0.1,0.98,TRUE,Good,0.98
150,AM.BYUR,20190619_172448,-2.243,138.4599,10,6.3,88.84,SKS,-7.16,44.75,1.9,0.98,-52.16,44.75,0.3,0.98,FALSE,Poor,0.79
151,AM.BYUR,20190624_025339,-6.4078,129.1692,212,7.3,98.01,SKS,-86.99,44.75,1.5,0.98,50.01,44.75,0.2,0.98,TRUE,Good,0.96
152,AM.BYUR,20190714_053923,-18.2237,120.3574,10,6.6,112.55,SKS,15.55,1.5,3.7,0.4,-32.45,44.75,0.2,0.98,TRUE,Fair,0.88
